epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,16492.5,0.36505,0.47581,0.95991,0.90611,0.91721,0.95651,0.92299,0.22779,0.5172,0.81558,0.004357,0.004357,0.004357
59,18112.8,0.36039,0.46619,0.95682,0.90805,0.91715,0.95675,0.92323,0.22829,0.51598,0.81646,0.004258,0.004258,0.004258
60,19737.3,0.35968,0.46466,0.95592,0.90947,0.91426,0.95655,0.92346,0.22833,0.51155,0.81665,0.004159,0.004159,0.004159
61,21338,0.35453,0.45262,0.95309,0.9104,0.91498,0.95694,0.92387,0.22743,0.50971,0.81569,0.00406,0.00406,0.00406
62,22996.7,0.35734,0.4575,0.95465,0.90953,0.91434,0.95661,0.92352,0.22656,0.50802,0.81501,0.003961,0.003961,0.003961
63,24625.2,0.35564,0.45385,0.95438,0.90937,0.91552,0.95634,0.92375,0.22587,0.50589,0.81434,0.003862,0.003862,0.003862
64,26143.5,0.35222,0.44468,0.95089,0.91474,0.91056,0.95644,0.92384,0.22546,0.50289,0.8139,0.003763,0.003763,0.003763
65,27662.9,0.34986,0.43793,0.95139,0.91788,0.90832,0.95616,0.92329,0.22502,0.50053,0.81338,0.003664,0.003664,0.003664
66,1495.18,0.33386,0.40188,0.93876,0.91723,0.90689,0.9559,0.92343,0.22461,0.49872,0.81298,0.003565,0.003565,0.003565
67,2992.9,0.34125,0.42083,0.94467,0.91785,0.9073,0.95621,0.92346,0.22443,0.49734,0.81265,0.003466,0.003466,0.003466
68,4475.34,0.34217,0.42073,0.94651,0.91945,0.90909,0.95625,0.92341,0.22432,0.49555,0.81248,0.003367,0.003367,0.003367
69,5951.7,0.34043,0.42279,0.94537,0.91914,0.91223,0.95651,0.92363,0.22384,0.49461,0.81206,0.003268,0.003268,0.003268
70,7426.83,0.34119,0.41964,0.94462,0.91947,0.91268,0.95647,0.92364,0.2235,0.49343,0.81167,0.003169,0.003169,0.003169
71,8903.25,0.34027,0.41645,0.945,0.91905,0.91345,0.95652,0.92346,0.22335,0.49173,0.81135,0.00307,0.00307,0.00307
72,10382,0.34121,0.41716,0.94624,0.9212,0.91209,0.95667,0.92353,0.22352,0.49274,0.81151,0.002971,0.002971,0.002971
73,11869.3,0.33931,0.41679,0.9435,0.92168,0.91153,0.95684,0.92367,0.22341,0.49014,0.81141,0.002872,0.002872,0.002872
74,13350.2,0.33614,0.41019,0.94125,0.92124,0.91096,0.95664,0.92359,0.22312,0.48824,0.81123,0.002773,0.002773,0.002773
75,14830.8,0.3381,0.41145,0.94378,0.92267,0.90972,0.95648,0.92341,0.22346,0.48685,0.81165,0.002674,0.002674,0.002674
76,16311.7,0.33475,0.40519,0.94158,0.92371,0.91041,0.95646,0.9235,0.22333,0.48553,0.81155,0.002575,0.002575,0.002575
77,17794.9,0.3363,0.40469,0.94228,0.92335,0.90994,0.95642,0.92341,0.22301,0.48435,0.81111,0.002476,0.002476,0.002476
78,19282.9,0.33089,0.39338,0.9391,0.92264,0.91154,0.95648,0.92381,0.22252,0.48221,0.81057,0.002377,0.002377,0.002377
79,20766.9,0.33235,0.4011,0.94026,0.9213,0.91235,0.95627,0.92406,0.22219,0.48003,0.81031,0.002278,0.002278,0.002278
80,22251.8,0.33176,0.39351,0.94064,0.92165,0.91182,0.95651,0.9242,0.22207,0.47864,0.81031,0.002179,0.002179,0.002179
81,23735.5,0.32781,0.3837,0.93753,0.92239,0.91136,0.95656,0.92443,0.2218,0.47916,0.80985,0.00208,0.00208,0.00208
82,25219.6,0.3241,0.37939,0.93656,0.91874,0.91495,0.95674,0.92461,0.22171,0.47741,0.80972,0.001981,0.001981,0.001981
83,26728.3,0.32326,0.38018,0.93591,0.91543,0.92007,0.9569,0.92486,0.22186,0.47669,0.81003,0.001882,0.001882,0.001882
84,28271,0.32522,0.3766,0.93609,0.91739,0.92044,0.95692,0.92496,0.22171,0.47598,0.80997,0.001783,0.001783,0.001783
85,29803.9,0.3219,0.36576,0.93494,0.91737,0.91964,0.95712,0.92483,0.22133,0.47244,0.80974,0.001684,0.001684,0.001684
